pattern,tag,response
Hi,greeting,Hello there. Tell me how are you feeling today?
Hi,greeting,Hi there. What brings you here today?
Hi,greeting,Hi there. How are you feeling today?
Hi,greeting,Great to see you. How do you feel currently?
Hi,greeting,Hello there. Glad to see you're back. What's going on in your world right now?
Hey,greeting,Hello there. Tell me how are you feeling today?
Hey,greeting,Hi there. What brings you here today?
Hey,greeting,Hi there. How are you feeling today?
Hey,greeting,Great to see you. How do you feel currently?
Hey,greeting,Hello there. Glad to see you're back. What's going on in your world right now?
Is anyone there?,greeting,Hello there. Tell me how are you feeling today?
Is anyone there?,greeting,Hi there. What brings you here today?
Is anyone there?,greeting,Hi there. How are you feeling today?
Is anyone there?,greeting,Great to see you. How do you feel currently?
Is anyone there?,greeting,Hello there. Glad to see you're back. What's going on in your world right now?
Hi there,greeting,Hello there. Tell me how are you feeling today?
Hi there,greeting,Hi there. What brings you here today?
Hi there,greeting,Hi there. How are you feeling today?
Hi there,greeting,Great to see you. How do you feel currently?
Hi there,greeting,Hello there. Glad to see you're back. What's going on in your world right now?
Hello,greeting,Hello there. Tell me how are you feeling today?
Hello,greeting,Hi there. What brings you here today?
Hello,greeting,Hi there. How are you feeling today?
Hello,greeting,Great to see you. How do you feel currently?
Hello,greeting,Hello there. Glad to see you're back. What's going on in your world right now?
Hey there,greeting,Hello there. Tell me how are you feeling today?
Hey there,greeting,Hi there. What brings you here today?
Hey there,greeting,Hi there. How are you feeling today?
Hey there,greeting,Great to see you. How do you feel currently?
Hey there,greeting,Hello there. Glad to see you're back. What's going on in your world right now?
Howdy,greeting,Hello there. Tell me how are you feeling today?
Howdy,greeting,Hi there. What brings you here today?
Howdy,greeting,Hi there. How are you feeling today?
Howdy,greeting,Great to see you. How do you feel currently?
Howdy,greeting,Hello there. Glad to see you're back. What's going on in your world right now?
Hola,greeting,Hello there. Tell me how are you feeling today?
Hola,greeting,Hi there. What brings you here today?
Hola,greeting,Hi there. How are you feeling today?
Hola,greeting,Great to see you. How do you feel currently?
Hola,greeting,Hello there. Glad to see you're back. What's going on in your world right now?
Bonjour,greeting,Hello there. Tell me how are you feeling today?
Bonjour,greeting,Hi there. What brings you here today?
Bonjour,greeting,Hi there. How are you feeling today?
Bonjour,greeting,Great to see you. How do you feel currently?
Bonjour,greeting,Hello there. Glad to see you're back. What's going on in your world right now?
Konnichiwa,greeting,Hello there. Tell me how are you feeling today?
Konnichiwa,greeting,Hi there. What brings you here today?
Konnichiwa,greeting,Hi there. How are you feeling today?
Konnichiwa,greeting,Great to see you. How do you feel currently?
Konnichiwa,greeting,Hello there. Glad to see you're back. What's going on in your world right now?
Guten tag,greeting,Hello there. Tell me how are you feeling today?
Guten tag,greeting,Hi there. What brings you here today?
Guten tag,greeting,Hi there. How are you feeling today?
Guten tag,greeting,Great to see you. How do you feel currently?
Guten tag,greeting,Hello there. Glad to see you're back. What's going on in your world right now?
Ola,greeting,Hello there. Tell me how are you feeling today?
Ola,greeting,Hi there. What brings you here today?
Ola,greeting,Hi there. How are you feeling today?
Ola,greeting,Great to see you. How do you feel currently?
Ola,greeting,Hello there. Glad to see you're back. What's going on in your world right now?
Good morning,morning,Good morning. I hope you had a good night's sleep. How are you feeling today? 
Good afternoon,afternoon,Good afternoon. How is your day going?
Good evening,evening,Good evening. How has your day been?
Good night,night,Good night. Get some proper sleep
Good night,night,Good night. Sweet dreams.
Bye,goodbye,See you later.
Bye,goodbye,Have a nice day.
Bye,goodbye,Bye! Come back again.
Bye,goodbye,I'll see you soon.
See you later,goodbye,See you later.
See you later,goodbye,Have a nice day.
See you later,goodbye,Bye! Come back again.
See you later,goodbye,I'll see you soon.
Goodbye,goodbye,See you later.
Goodbye,goodbye,Have a nice day.
Goodbye,goodbye,Bye! Come back again.
Goodbye,goodbye,I'll see you soon.
Au revoir,goodbye,See you later.
Au revoir,goodbye,Have a nice day.
Au revoir,goodbye,Bye! Come back again.
Au revoir,goodbye,I'll see you soon.
Sayonara,goodbye,See you later.
Sayonara,goodbye,Have a nice day.
Sayonara,goodbye,Bye! Come back again.
Sayonara,goodbye,I'll see you soon.
ok bye,goodbye,See you later.
ok bye,goodbye,Have a nice day.
ok bye,goodbye,Bye! Come back again.
ok bye,goodbye,I'll see you soon.
Bye then,goodbye,See you later.
Bye then,goodbye,Have a nice day.
Bye then,goodbye,Bye! Come back again.
Bye then,goodbye,I'll see you soon.
Fare thee well,goodbye,See you later.
Fare thee well,goodbye,Have a nice day.
Fare thee well,goodbye,Bye! Come back again.
Fare thee well,goodbye,I'll see you soon.
Thanks,thanks,Happy to help!
Thanks,thanks,Any time!
Thanks,thanks,My pleasure
Thanks,thanks,You're most welcome!
Thank you,thanks,Happy to help!
Thank you,thanks,Any time!
Thank you,thanks,My pleasure
Thank you,thanks,You're most welcome!
That's helpful,thanks,Happy to help!
That's helpful,thanks,Any time!
That's helpful,thanks,My pleasure
That's helpful,thanks,You're most welcome!
Thanks for the help,thanks,Happy to help!
Thanks for the help,thanks,Any time!
Thanks for the help,thanks,My pleasure
Thanks for the help,thanks,You're most welcome!
Than you very much,thanks,Happy to help!
Than you very much,thanks,Any time!
Than you very much,thanks,My pleasure
Than you very much,thanks,You're most welcome!
,no-response,"Sorry, I didn't understand you."
,no-response,Please go on.
,no-response,Not sure I understand that.
,no-response,Please don't hesitate to talk to me.
nothing much,neutral-response,Oh I see. Do you want to talk about something?
Who are you?,about,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"
Who are you?,about,"I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."
Who are you?,about,I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?
Who are you?,about,You can call me Pandora.
Who are you?,about,I'm Pandora!
Who are you?,about,Call me Pandora
What are you?,about,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"
What are you?,about,"I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."
What are you?,about,I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?
What are you?,about,You can call me Pandora.
What are you?,about,I'm Pandora!
What are you?,about,Call me Pandora
Who you are?,about,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"
Who you are?,about,"I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."
Who you are?,about,I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?
Who you are?,about,You can call me Pandora.
Who you are?,about,I'm Pandora!
Who you are?,about,Call me Pandora
Tell me more about yourself.,about,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"
Tell me more about yourself.,about,"I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."
Tell me more about yourself.,about,I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?
Tell me more about yourself.,about,You can call me Pandora.
Tell me more about yourself.,about,I'm Pandora!
Tell me more about yourself.,about,Call me Pandora
What is your name?,about,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"
What is your name?,about,"I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."
What is your name?,about,I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?
What is your name?,about,You can call me Pandora.
What is your name?,about,I'm Pandora!
What is your name?,about,Call me Pandora
What should I call you?,about,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"
What should I call you?,about,"I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."
What should I call you?,about,I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?
What should I call you?,about,You can call me Pandora.
What should I call you?,about,I'm Pandora!
What should I call you?,about,Call me Pandora
What's your name?,about,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"
What's your name?,about,"I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."
What's your name?,about,I'm Pandora. I am a conversational agent designed to mimic a therapist. So how are you feeling today?
What's your name?,about,You can call me Pandora.
What's your name?,about,I'm Pandora!
What's your name?,about,Call me Pandora
Tell me about yourself,about,"I'm Pandora, your Personal Therapeutic AI Assistant. How are you feeling today"
Tell me about yourself,about,"I'm Pandora, a Therapeutic AI Assitant designed to assist you. Tell me about yourself."
